series_id,station_id,station,river,var_id,network,lat,lon,cat_start,cat_end
26322,80,Colón,URUGUAY,39,alturas_prefe,-32.2333333333333,-58.1166666666667,1971-01-01T00:00:00,2026-08-29T00:00:00
26323,81,Concepción del Uruguay,URUGUAY,39,alturas_prefe,-32.4833333333333,-58.2333333333333,1971-01-01T00:00:00,2026-08-29T00:00:00
82,82,Campichuelo,URUGUAY,2,alturas_prefe,-32.70101,-58.1834,1996-03-06T06:00:00,2026-08-30T00:00:00
26325,83,Puerto Gualeguaychú,GUALEGUAYCHU,39,alturas_prefe,-33.0166666666667,-58.5,1976-01-01T00:00:00,2024-10-22T00:00:00
84,84,Boca Gualeguaychú,URUGUAY,2,alturas_prefe,-33.0666666666667,-58.4166666666667,1941-01-01T07:00:00,2026-08-30T00:00:00
26327,85,Buenos Aires,RIODELAPLATA,39,alturas_prefe,-34.56108,-58.399288,2006-01-01T00:00:00,2026-08-29T00:00:00
86,86,La Plata,RIODELAPLATA,2,alturas_prefe,-34.824196,-57.873546,2006-01-01T04:00:00,2026-08-30T00:00:00
26328,86,La Plata,RIODELAPLATA,39,alturas_prefe,-34.824196,-57.873546,2006-01-01T00:00:00,2026-08-29T00:00:00
26684,87,Yacyretá afluente,PARANAMED,40,alturas_prefe,-27.482557,-56.727244,2006-01-01T00:00:00,2026-08-29T00:00:00
937,88,Yacyretá efluente,PARANAMED,4,alturas_prefe,-27.482557,-56.727244,1994-07-24T06:00:00,2026-08-30T00:00:00
26685,88,Yacyretá efluente,PARANAMED,40,alturas_prefe,-27.482557,-56.727244,1994-07-24T00:00:00,2026-08-29T00:00:00
938,89,Aporte Salto Grande,URUGUAY,4,alturas_prefe,-31.273969,-57.938011,2020-08-06T00:00:00,2024-10-24T00:00:00
26687,90,Erogado Salto Grande,URUGUAY,40,alturas_prefe,-31.273969,-57.938011,2020-08-07T00:00:00,2020-08-31T00:00:00
942,93,Confluencia,PARANAMED,4,alturas_prefe,-25.592701,-54.593363,2006-01-01T04:00:00,2026-08-30T00:00:00
98,98,Virtuani,BRAZOLARGO,2,alturas_prefe,-33.7833333333,-58.6166666667,2009-10-19T04:00:00,2009-10-19T04:00:00
99,99,Gualeguaychú,URUGUAY,2,alturas_prefe,-33.0144444444444,-58.5041666666667,2006-01-01T04:00:00,2026-08-30T00:00:00
102,102,Ruta Nacional nº 130,GUALEGUAYCHU,2,alturas_bdhi,-32.1046111111111,-58.4904722222222,2001-05-01T16:00:00,2026-04-30T06:00:00
107,107,Santa Lucía,SANTALUCIA,2,alturas_bdhi,-28.9911111111111,-59.0982222222222,2001-05-01T10:00:00,2026-04-30T18:00:00
29868,107,Santa Lucía,SANTALUCIA,39,alturas_bdhi,-28.9911111111111,-59.0982222222222,2001-05-01T00:00:00,2026-04-30T00:00:00
