series_id,station_id,station,river,variable,var_id,unit,network,province,procedure,lat,lon,live,percentiles
3465,33,San Lorenzo (San Martín),PARANAINF,Caudal,4,,alturas_prefe,,,-32.7336256031375,-60.7256705696322,True,
25511,33,San Lorenzo (San Martín),PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-32.7336256031375,-60.7256705696322,True,
26275,33,San Lorenzo (San Martín),PARANAINF,Altura hidrométrica media diaria,39,,alturas_prefe,,,-32.7336256031375,-60.7256705696322,True,
26630,33,San Lorenzo (San Martín),PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-32.7336256031375,-60.7256705696322,True,
3412,34,Rosario,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-32.9432699442268,-60.6308206029857,True,
3466,34,Rosario,PARANAINF,Caudal,4,,alturas_prefe,,,-32.9432699442268,-60.6308206029857,True,
3493,34,Rosario,PARANAINF,Caudal,4,,alturas_prefe,,,-32.9432699442268,-60.6308206029857,True,
29622,34,Rosario,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-32.9432699442268,-60.6308206029857,True,
26631,34,Rosario,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-32.9432699442268,-60.6308206029857,True,
35,35,Villa Constitución,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-33.2354221667103,-60.3091044341421,True,
3440,35,Villa Constitución,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-33.2354221667103,-60.3091044341421,True,
3467,35,Villa Constitución,PARANAINF,Caudal,4,,alturas_prefe,,,-33.2354221667103,-60.3091044341421,True,
3494,35,Villa Constitución,PARANAINF,Caudal,4,,alturas_prefe,,,-33.2354221667103,-60.3091044341421,True,
25513,35,Villa Constitución,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.2354221667103,-60.3091044341421,True,
3468,36,San Nicolás,PARANAINF,Caudal,4,,alturas_prefe,,,-33.3420008188866,-60.1895279977149,True,
3495,36,San Nicolás,PARANAINF,Caudal,4,,alturas_prefe,,,-33.3420008188866,-60.1895279977149,True,
26633,36,San Nicolás,PARANAINF,Caudal medio diario,40,,alturas_prefe,,,-33.3420008188866,-60.1895279977149,True,
3442,37,Ramallo,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-33.4780656197056,-59.9957013181522,True,
3496,37,Ramallo,PARANAINF,Caudal,4,,alturas_prefe,,,-33.4780656197056,-59.9957013181522,True,
3535,37,Ramallo,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.4780656197056,-59.9957013181522,True,
29611,37,Ramallo,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.4780656197056,-59.9957013181522,True,
38,38,San Pedro,PARANAINF,Altura hidrométrica,2,,alturas_prefe,,,-33.6745267329027,-59.6497183332918,True,
887,38,San Pedro,PARANAINF,Caudal,4,,alturas_prefe,,,-33.6745267329027,-59.6497183332918,True,
3470,38,San Pedro,PARANAINF,Caudal,4,,alturas_prefe,,,-33.6745267329027,-59.6497183332918,True,
3536,38,San Pedro,PARANAINF,Altura hidrométrica media mensual,33,,alturas_prefe,,,-33.6745267329027,-59.6497183332918,True,
