series_id,station,river,network,lat,lon,cat_start,cat_end,donor_series_id,donor_station,donor_river,match_type,match_km,river_agrees,combined_years,tier
38116,Uruguay - Paso de los Libres,,sat2,-29.7219444444444,-57.0830555555556,2024-11-01T00:00:00,2026-08-29T00:00:00,6574,Uruguay - Paso de los Libres,Uruguay,coords,0.3,unknown,25.3,2
38297,Quinto - R.N. 35,,sat2,-34.2163888888889,-64.3861111111111,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
37953,Chico - Chico 2,,sat2,-53.5480555555556,-68.3769444444444,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38138,Guayquiraró - RN 12 - A°Curupí,,sat2,-30.3511111111111,-59.5147222222222,2024-09-21T00:00:00,2026-08-29T00:00:00,120,Paso Telégrafo,GUAYQUIRARO,coords,0.84,unknown,11.2,2
33517,Compuerta Alternativa Norte AD,,sat2,-34.2419444444444,-62.1211111111111,2024-09-13T16:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
33392,Colorado - Villa de Mazán,,sat2,-28.6491666666667,-66.5491666666667,2024-09-13T16:00:00,2026-08-30T08:00:00,,,,,,,2.0,3
38014,Colorado - Villa de Mazán,,sat2,-28.6491666666667,-66.5491666666667,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38015,Bermejo - Azud los Colorados,,sat2,-29.2580555555556,-68.2525,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38099,Dique Belén - Embalse,,sat2,-27.615,-67.0163888888889,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
33519,Cullén - Cullén 1,,sat2,-52.8527777777778,-68.5669444444444,2024-09-13T16:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
38042,Cullén - Cullén 1,,sat2,-52.8527777777778,-68.5669444444444,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38016,Lago Puelo - Lago Puelo,,sat2,-42.0972222222222,-71.6194444444444,2024-09-14T00:00:00,2026-08-29T00:00:00,6406,LAGO PUELO - LAGO PUELO,Puelo,coords,0.3,unknown,7.1,3
33215,Grande - Gde. -Ecia. San Julio,,sat2,-53.9019444444444,-68.5294444444444,2025-12-04T16:00:00,2026-08-30T20:00:00,,,,,,,0.7,3
37981,Grande - Gde. -Ecia. San Julio,,sat2,-53.9019444444444,-68.5294444444444,2025-12-04T00:00:00,2026-08-29T00:00:00,,,,,,,0.7,3
38017,Carreras - Frontera,,sat2,-48.2061111111111,-72.2838888888889,2024-09-14T00:00:00,2026-08-29T00:00:00,6164,CARRERAS - FRONTERA,Carreras,coords,0.05,unknown,7.1,3
38140,Vinchina - Vinchina,,sat2,-28.7436111111111,-68.2205555555556,2025-01-22T00:00:00,2026-08-29T00:00:00,,,,,,,1.6,3
38018,Pilcomayo - Villa Gral. Güemes,,sat2,-24.7469444444444,-59.4997222222222,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
37982,Aº Mocoretá - RN Nº 14,,sat2,-30.6275,-57.9827777777778,2024-09-14T00:00:00,2026-08-29T00:00:00,6568,Mocoretá - Rnnº 014,Mocoretá,coords,0.06,unknown,16.3,2
37958,Vizcachas - Limite con Chile,,sat2,-51.0297222222222,-72.3111111111111,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38159,Vizcachas - Nacimiento,,sat2,-50.87,-71.965,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38020,Bermejo - Alarache,,sat2,-22.1902777777778,-64.6527777777778,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
33068,Rio Hondo - HID - Sitio 2,,sat2,-27.6669444444444,-67.1658333333333,2024-09-13T16:00:00,2026-08-30T20:00:00,,,,,,,2.0,3
37960,Rio Hondo - HID - Sitio 2,,sat2,-27.6669444444444,-67.1658333333333,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
34150,Piedra Larga - HID - Sitio 1,,sat2,-27.6125,-67.1947222222222,2024-09-13T15:30:00,2026-08-30T21:00:00,,,,,,,2.0,3
38161,Piedra Larga - HID - Sitio 1,,sat2,-27.6125,-67.1947222222222,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38021,Los Antiguos - Los Antiguos,,sat2,-46.5541666666667,-71.6397222222222,2024-09-14T00:00:00,2026-08-29T00:00:00,29935,Los Antiguos - Ruta Provincial Nº 043,Los Antiguos,coords,0.01,unknown,18.7,2
38079,Juramento - El Quebrachal,,sat2,-25.3441666666667,-64.0461111111111,2024-09-14T00:00:00,2026-08-29T00:00:00,6368,JURAMENTO - EL QUEBRACHAL,Juramento,coords,0.06,unknown,24.9,2
34010,Colorado - Pata Mora,,sat2,-37.2083333333333,-69.1138888888889,2024-09-13T16:00:00,2026-08-30T18:00:00,,,,,,,2.0,3
38147,Bella Vista -  Radman,,sat2,-53.9983333333333,-68.5947222222222,2025-02-13T00:00:00,2026-08-29T00:00:00,,,,,,,1.5,3
33822,Dique Sotomayor - Embalse,,sat2,-28.59,-65.2883333333333,2024-09-13T16:00:00,2026-08-30T16:00:00,,,,,,,2.0,3
38084,Dique Sotomayor - Embalse,,sat2,-28.59,-65.2883333333333,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
34179,Durazno - Chilecito,,sat2,-29.1511111111111,-67.49,2024-09-13T16:00:00,2026-08-30T21:00:00,,,,,,,2.0,3
38165,Durazno - Chilecito,,sat2,-29.1511111111111,-67.49,2024-09-14T00:00:00,2026-08-29T00:00:00,,,,,,,2.0,3
38107,Del Campo - Cabo San Miguel,,sat2,-27.4333333333333,-65.9977777777778,2025-05-23T00:00:00,2026-08-29T00:00:00,,,,,,,1.3,3
