series_id,station_id,station,river,variable,var_id,unit,network,procedure,lat,lon,live,n_obs,last_seen,percentiles
38314,2203,Gualeguay - Rosario del Tala,,Altura hidrométrica 4-horaria,101,,sat2,,-32.3086111111111,-59.0769444444445,,,,
6829,2204,Carcarañá - Pueblo Andino,,Altura hidrométrica,2,,sat2,,-32.6733333333333,-60.8658333333333,True,71,2026-08-31T00:00:00.000Z,
43906,2204,Carcarañá - Pueblo Andino,,Caudal medio diario,40,,sat2,,-32.6733333333333,-60.8658333333333,,,,
9637,2205,Gualeguay - Villaguay,,Caudal,4,,sat2,,-31.8016666666667,-59.1261111111111,,,,
26523,2205,Gualeguay - Villaguay,,Altura hidrométrica media diaria,39,,sat2,,-31.8016666666667,-59.1261111111111,,,,
18610,2205,Gualeguay - Villaguay,,Caudal medio diario,40,,sat2,,-31.8016666666667,-59.1261111111111,,,,
38308,2206,Río Areco - Puente Quemado,,Altura hidrométrica 4-horaria,101,,sat2,,-34.2880555555556,-59.7027777777778,False,0,,
26525,2207,Seminario Diocesano de Azul,,Altura hidrométrica media diaria,39,,sat2,,-36.8311111111111,-59.8938888888889,,,,
38411,2207,Seminario Diocesano de Azul,,Altura hidrométrica 4-horaria,101,,sat2,,-36.8311111111111,-59.8938888888889,,,,
38326,2208,PN - Los Glaciares,,Altura hidrométrica 4-horaria,101,,sat2,,-50.4261111111111,-72.7477777777778,,,,
38384,2210,Neuquen - Paso de Indios,,Altura hidrométrica 4-horaria,101,,sat2,,-38.5302777777778,-69.4022222222222,True,16,2026-08-30T15:00:00.000Z,False
6725,2212,Compuerta Alternativa Norte AD,,Altura hidrométrica,2,,sat2,,-34.2419444444444,-62.1211111111111,,,,
26530,2213,Canal Regulador N°4 - La Pantanosa,,Altura hidrométrica media diaria,39,,sat2,,-34.2580555555556,-61.6386111111111,,,,
38386,2214,Río Areco - Carmen de Areco,,Altura hidrométrica 4-horaria,101,,sat2,,-34.3519444444444,-59.8166666666667,False,0,,
6906,2215,Río Areco - San Antonio de Are,,Altura hidrométrica,2,,sat2,,-34.2405555555556,-59.4994444444444,True,66,2026-08-30T23:00:00.000Z,
26532,2215,Río Areco - San Antonio de Are,,Altura hidrométrica media diaria,39,,sat2,,-34.2405555555556,-59.4994444444444,True,2,2026-08-29T03:00:00.000Z,False
34889,2215,Río Areco - San Antonio de Are,,Altura hidrométrica media diaria,39,,sat2,,-34.2405555555556,-59.4994444444444,,,,
34887,2215,Río Areco - San Antonio de Are,,Caudal medio diario,40,,sat2,,-34.2405555555556,-59.4994444444444,True,2,2026-08-29T03:00:00.000Z,
38387,2215,Río Areco - San Antonio de Are,,Altura hidrométrica 4-horaria,101,,sat2,,-34.2405555555556,-59.4994444444444,,,,
6691,2216,Olivia - Olivia,,Altura hidrométrica,2,,sat2,,-54.7975,-68.2255555555556,,,,
26533,2216,Olivia - Olivia,,Altura hidrométrica media diaria,39,,sat2,,-54.7975,-68.2255555555556,,,,
26534,2217,Laguna La Picasa - RN33,,Altura hidrométrica media diaria,39,,sat2,,-34.3269444444445,-62.8113888888889,False,0,,
38305,2217,Laguna La Picasa - RN33,,Altura hidrométrica 4-horaria,101,,sat2,,-34.3269444444445,-62.8113888888889,,,,
6885,2219,Intersección Canales A22,,Altura hidrométrica,2,,sat2,,-34.4494444444444,-62.4133333333333,False,0,,
26536,2219,Intersección Canales A22,,Altura hidrométrica media diaria,39,,sat2,,-34.4494444444444,-62.4133333333333,,,,
38379,2219,Intersección Canales A22,,Altura hidrométrica 4-horaria,101,,sat2,,-34.4494444444444,-62.4133333333333,,,,
38373,2220,Atuel - Carmensa,,Altura hidrométrica 4-horaria,101,,sat2,,-35.1844444444444,-67.7269444444444,,,,
